Date,AQI
2017-04-01,470
2017-04-02,515
2017-04-03,475
2017-04-04,540
2017-04-05,1122
2017-04-06,4386
2017-04-07,3308
2017-04-08,327
2017-04-09,877
2017-04-10,1005
2017-04-11,3281
2017-04-12,1338
2017-04-13,1545
2017-04-14,612
2017-04-15,883
2017-04-16,1965
2017-04-17,369
2017-04-18,505
2017-04-19,790
2017-04-20,1220
2017-04-21,1191
2017-04-22,2082
2017-04-23,1574
2017-04-24,1305
2017-04-25,772
2017-04-26,1001
2017-04-27,654
2017-04-28,576
2017-04-29,483
2017-04-30,966
2017-05-01,1206
2017-05-02,1682
2017-05-03,1655
2017-05-04,2065
2017-05-05,668
2017-05-06,2700
2017-05-07,1599
2017-05-08,970
2017-05-09,3033
2017-05-10,1867
2017-05-11,1573
2017-05-12,1644
2017-05-13,1281
2017-05-14,825
2017-05-15,1959
2017-05-16,2656
2017-05-17,6154
2017-05-18,6186
2017-05-19,1099
2017-05-20,1518
2017-05-21,1735
2017-05-22,2746
2017-05-23,3269
2017-05-24,2027
2017-05-25,882
2017-05-26,588
2017-05-27,681
2017-05-28,1036
2017-05-29,1032
2017-05-30,1108
2017-05-31,663
2017-06-01,637
2017-06-02,4831
2017-06-03,6654
2017-06-04,2770
2017-06-05,2336
2017-06-06,2535
2017-06-07,2426
2017-06-08,2343
2017-06-09,2768
2017-06-10,6255
2017-06-11,2946
2017-06-12,7110
2017-06-13,5663
2017-06-14,3166
2017-06-15,4119
2017-06-16,3007
2017-06-17,1995
2017-06-18,1976
2017-06-19,2268
2017-06-20,3179
2017-06-21,3033
2017-06-22,4117
2017-06-23,2943
2017-06-24,2642
2017-06-25,2175
2017-06-26,1214
2017-06-27,1170
2017-06-28,875
2017-06-29,1440
2017-06-30,2461
2017-07-01,2812
2017-07-02,1907
2017-07-03,2412
2017-07-04,4394
2017-07-05,3769
2017-07-06,4411
2017-07-07,3555
2017-07-08,3114
2017-07-09,1559
2017-07-10,2476
2017-07-11,1559
2017-07-12,1801
2017-07-13,2397
2017-07-14,2611
2017-07-15,2646
2017-07-16,1397
2017-07-17,1829
2017-07-18,2921
2017-07-19,5472
2017-07-20,4365
2017-07-21,2519
2017-07-22,3434
2017-07-23,3347
2017-07-24,2197
2017-07-25,1429
2017-07-26,1560
2017-07-27,1792
2017-07-28,1199
2017-07-29,1310
2017-07-30,1078
2017-07-31,2815
2017-08-01,6035
2017-08-02,7337
2017-08-03,7987
2017-08-04,7840
2017-08-05,5486
2017-08-06,3914
2017-08-07,3737
2017-08-08,4796
2017-08-09,5957
2017-08-10,6184
2017-08-11,5110
2017-08-12,3245
2017-08-13,1178
2017-08-14,737
2017-08-15,469
2017-08-16,1385
2017-08-17,2057
2017-08-18,3485
2017-08-19,3499
2017-08-20,2279
2017-08-21,1834
2017-08-22,3010
2017-08-23,3712
2017-08-24,2509
2017-08-25,2259
2017-08-26,4386
2017-08-27,4021
2017-08-28,6458
2017-08-29,6552
2017-08-30,5036
2017-08-31,4859
2017-09-01,9809
2017-09-02,10027
2017-09-03,11084
2017-09-04,15572
2017-09-05,14201
2017-09-06,14872
2017-09-07,13180
