Year,Start_Date,End_Date,Disaster Group,Disaster Type,Total Affected,Total Deaths
2017,2017-04-01,2017-07-21,Natural,Flood,1000000.0,
2017,2017-04-01,2017-04-01,Natural,Storm,679.0,
2017,2017-04-01,2017-04-01,Natural,Landslide,177.0,28.0
2017,2017-04-05,2017-04-21,Natural,Flood,9000.0,1.0
2017,2017-04-05,2017-04-21,Natural,Flood,2200.0,
2017,2017-04-08,2017-04-08,Natural,Earthquake,25000.0,
2017,2017-04-12,2017-06-15,Natural,Extreme temperature ,,264.0
2017,2017-04-14,2017-04-21,Natural,Flood,7000.0,
2017,2017-04-15,2017-04-17,Natural,Storm,5000.0,
2017,2017-04-15,2017-04-16,Natural,Flood,,42.0
2017,2017-04-15,2017-04-15,Natural,Storm,860.0,10.0
2017,2017-04-17,2017-04-21,Natural,Landslide,512.0,20.0
2017,2017-04-19,2017-05-03,Natural,Flood,55921.0,
2017,2017-04-20,2017-04-23,Natural,Storm,5000.0,
2017,2017-04-20,2017-04-23,Natural,Storm,,
2017,2017-04-20,2017-04-23,Natural,Storm,10287.0,
2017,2017-04-22,2017-04-22,Natural,Storm,,11.0
2017,2017-04-22,2017-07-11,Natural,Epidemic,621.0,2.0
2017,2017-04-26,2017-04-29,Natural,Flood,76800.0,8.0
2017,2017-04-27,2017-06-03,Natural,Epidemic,,
2017,2017-04-28,2017-05-01,Natural,Flood,70.0,20.0
2017,2017-04-29,2017-04-29,Natural,Landslide,55.0,24.0
2017,2017-04-29,2017-04-29,Natural,Flood,359.0,12.0
2017,2017-05-01,2017-05-01,Natural,Storm,,12.0
2017,2017-05-03,2017-05-03,Natural,Earthquake,5000.0,
2017,2017-05-03,2017-07-02,Natural,Epidemic,146.0,
2017,2017-05-05,2017-05-20,Natural,Flood,16113.0,2.0
2017,2017-05-07,2017-05-12,Natural,Storm,2564.0,
2017,2017-05-08,2017-05-16,Natural,Flood,25000.0,26.0
2017,2017-05-08,2017-05-16,Natural,Flood,,7.0
2017,2017-05-09,2017-05-11,Natural,Storm,,
2017,2017-05-10,2017-05-23,Natural,Flood,15721.0,
2017,2017-05-11,2017-05-11,Natural,Earthquake,4583.0,8.0
2017,2017-05-11,2017-05-15,Natural,Flood,3000.0,2.0
2017,2017-05-12,2017-05-15,Natural,Flood,25011.0,7.0
2017,2017-05-13,2017-05-13,Natural,Earthquake,2262.0,3.0
2017,2017-05-14,2017-05-19,Natural,Flood,200.0,3.0
2017,2017-05-17,2017-05-19,Natural,Flood,342.0,26.0
2017,2017-05-20,2017-05-24,Natural,Storm,6000.0,9.0
2017,2017-05-20,2017-05-25,Natural,Flood,3274.0,
2017,2017-05-25,2017-05-31,Natural,Flood,879932.0,293.0
2017,2017-05-26,2017-06-10,Natural,Flood,104140.0,14.0
2017,2017-05-28,2017-05-28,Natural,Storm,1250.0,29.0
2017,2017-05-29,2017-06-14,Natural,Flood,3000.0,
2017,2017-05-29,2017-06-14,Natural,Flood,6639.0,
2017,2017-05-29,2017-05-29,Natural,Storm,201.0,16.0
2017,2017-05-30,2017-05-30,Natural,Storm,3300012.0,7.0
2017,2017-05-30,2017-05-31,Natural,Storm,1970.0,
2017,2017-05-31,2017-06-05,Natural,Flood,28500.0,1.0
2017,2017-05-31,2017-06-05,Natural,Flood,4074.0,5.0
2017,2017-06-01,2017-12-31,Natural,Wildfire,9185.0,43.0
2017,2017-06-01,2017-06-31,Natural,Flood,,31.0
2017,2017-06-01,2017-06-03,Natural,Storm,600.0,6.0
2017,2017-06-01,2017-06-03,Natural,Flood,282420.0,4.0
2017,2017-06-01,2017-06-09,Natural,Storm,107520.0,
2017,2017-06-04,2017-06-06,Natural,Flood,100000.0,6.0
