Date,Content
2017-04-01,Why doesn't @Apple disengage text function in #iPhones in moving automobiles? Spend money on that instead of politically correct emojis.
2017-05-10,"Hey @Apple I volunteer to stress test the new Mac Pros you're working on. By editing videos on them.\n\n...In other news, new video tonight!"
2017-06-09,Hey @Apple how about acknowledging our Armed Forces in your next emoji update.
2017-06-29,"Here's the moment Steve Jobs unveiled the #iPhone, a decade ago.\n\n#iPhoneAt10 \n(via @ValaAfshar) $AAPL \nhttps://t.co/IiDNVhDbaM"
2017-07-17,"Hey @Apple, where is our emoji?\n\n#NationalEmojiDay https://t.co/CrTBJFWyro"
2017-07-17,"Hey @Apple \nFor new emojis, I suggest something like this. Zombies &amp; dinosaurs are cool but skaters are more in your demographic\nThanks\nTony https://t.co/YaKzbd2of0"
2017-07-23,"Teamed w/ @Apple to make the biggest, coolest, sexiest, funnest (is that a word?) movie ever. Drops TOMORROW!\n#ROCKxSIRI #DominateYourDay✊🏾 https://t.co/STwlCPsVUh"
2017-07-24,WORLD PREMIERE: Hardest working man in show business teams with @Apple &amp; the greatest assistant on the planet. #DominateTheDay #ROCKxSIRI https://t.co/dEup152HQf
2017-08-01,Apple has $261.5 billion in cash. It could buy: \n\nUber\nTesla\nNetflix\nAirbnb\nTwitter\n\n...and still have $29 billion left. $AAPL
2017-09-04,Yo the @Apple twitter account is nuts. It's tweeted tens of thousands of times and still shows 0 tweets. Hax https://t.co/XMGcmRZg2f
2017-09-12,"The iPhone ""X""? 🤔🤔🤔 @apple I\'ll see you in court sweetie. https://t.co/oe8IEHDry5"
2017-09-13,So @Apple if you hold your iphoneX up to your birds face when she's asleep will it unlock? Asking for a mate
2017-10-11,We all saw @Eminem take down @realDonaldTrump. Did you know he also BODIED @Apple today? https://t.co/nIGuErlSDH
2017-10-21,I’m assuming someone has told @Apple that the latest iOS update is terrible
2017-10-30,Yo @Apple where's my experience bro https://t.co/0yrBQHNSQO
2017-11-04,This video explains my last tweet 😑\n\nhttps://t.co/gN5b4RzmZF\n\nWe just hacked the iPhone X @Apple
2017-11-06,Wassup w dis question mark in a box for the I? @Apple
2017-11-06,"Dear @Apple, I'm sorry I did this w/ your iPhone X Animoji. I'm stuck at LAX on a loooong flight delay, so WHAT CHOICE DID I HAVE REALLY??? https://t.co/kWPIz58fve"
2017-11-06,Hey @apple when is this “I️” shit gonna end!?!
2017-11-09,"Hey @Apple you win.  I bought the new iPhone X.  Can you unFuck my current one until it arrives??? Sincerely, everyone on the planet who installed your bullshit update.  xoxo"
2017-11-11,Hey @Apple FIX these phones!!!
